,Type,Date,Num,Name,Memo,Clr,Split,Amount,Balance
,Check,9/1/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,9676.26
,Deposit,9/1/20,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,1256.5,10932.76
,Deposit,9/1/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,24.5,10957.26
,Check,9/2/20,,MOUNTAINS EDGE MASTER ASSOCIATION,review fee Fort Pike,X,Community Association Fee,-20,10937.26
,Check,9/10/20,,Bershire Hathaway,Rental Commission Fort Pike,X,Management Fees,-300,10637.26
,Check,9/15/20,,"GoldenWest Management, Inc",Leasing Fee Fort Pike,X,Management Fees,-897.5,9739.76
,Check,9/21/20,,NV ENERGY,Fort Pike,X,Utilities,-42.6,10072.66
,Check,9/23/20,,AMERICAN HOME MECHANICAL LLC.,$112.50+$35 Fort Pike,X,Repairs and Maintenance,-147.5,9925.16
,Check,9/23/20,,"GoldenWest Management, Inc",stamp Fort Pike,X,Management Fees,-10,9915.16
,Check,9/23/20,,"GoldenWest Management, Inc",Zillow Ad Fee Fort Pike,X,Management Fees,-30,9885.16
,Check,9/23/20,,CT cleaning, Fort Pike,X,Repairs and Maintenance,-35,9850.16
,Check,10/1/20,,"GoldenWest Management, Inc", Bright Leaf,X,Management Fees,-115,9735.16
,Deposit,10/1/20,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1220,10955.16
,Check,10/1/20,,Drain BEARS,New  water heater $900+$35 Fort Pike,X,Repairs and Maintenance,-935,10020.16
,Check,10/1/20,,"GoldenWest Management, Inc", Fort Pike,X,Management Fees,-145,9875.16
,Deposit,10/1/20,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,1795,11670.16
,Deposit,10/1/20,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,35,11705.16
,Deposit,10/2/20,,"GoldenWest Management, Inc",Leasing fee Fort Pike,X,Management Fees,597.5,12302.66
,Check,10/4/20,,MOUNTAINS EDGE MASTER ASSOCIATION,checking #540 Fort Pike,X,Community Association Fee,-192,12110.66
,Check,10/4/20,,ELDORADO THIRD CA,checking #542 Bright Leaf,X,Community Association Fee,-63,12047.66
,Check,10/7/20,,Nature by Design LLC,Fort Pike Tree Trim $230+$35,X,Repairs and Maintenance,-265,11782.66
,Check,10/7/20,,CT cleaning,Fort Pike $753+$35,X,Repairs and Maintenance,-753,11029.66
,Check,10/10/20,,REPUBLIC SERVICE,4 qtr 2020 Fort Pike,X,Utilities,-46.65,10983.01
,Check,10/11/20,,Billoyd's Appliance Service,$438.77+$35 Fort Pike,X,Repairs and Maintenance,-473.77,10509.24
,Check,11/4/20,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,10394.24
,Check,11/4/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,10249.24
,Deposit,11/4/20,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1220,11469.24
,Deposit,11/4/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,13264.24
,Deposit,11/4/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,13299.24
,Check,11/11/20,,Ruiz LV Home repairs,Replace Toilet Flush Handle Fort Pike,X,Repairs and Maintenance,-105,13194.24
,Check,11/11/20,,City Lights Appliance LLC,Garbage Disposal Fort Pike,X,Repairs and Maintenance,-175,13019.24
,Deposit,12/5/20,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1220,14239.24
,Check,12/5/20,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,14124.24
,Deposit,12/5/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,15919.24
,Deposit,12/5/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,15954.24
,Deposit,12/5/20,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,60,16014.24
,Check,12/5/20,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,15869.24
,Check,12/6/20,,Pablo Montiel,1828 Bright Leaf painting facial broad,X,Repairs and Maintenance,-800,15069.24
,Check,12/28/20,,State Farm Fire and Casualty Company,1828 Bright Leaf,X,Insurance Expense,-564,14505.24
,Check,12/29/20,,State Farm Fire and Casualty Company,10001 Fort Pike,X,Insurance Expense,-699,13806.24
,Check,12/29/20,,MOUNTAINS EDGE MASTER ASSOCIATION,chk #545 Fort Pike,X,Community Association Fee,-192,13614.24
,Check,1/12/21,,REPUBLIC SERVICE,Fort Pike,X,Utilities,-46.65,15566.35
,Deposit,1/16/21,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1220,16786.35
,Check,1/16/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,16671.35
,Check,1/16/21,,"GoldenWest Management, Inc",1/2021 Semi Annual Record Bright Leaf,X,Management Fees,-49,16622.35
,Check,1/16/21,,"GoldenWest Management, Inc",1/2021 Semi Anual Record Fort Pike,X,Management Fees,-49,16573.35
,Check,1/16/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,16428.35
,Deposit,1/16/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,18223.35
,Deposit,1/16/21,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,35,18258.35
,Check,1/22/21,,Nature by Design LLC,470+35 Fort Pike,X,Repairs and Maintenance,-505,17753.35
,Deposit,2/4/21,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1220,18973.35
,Check,2/4/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,18858.35
,Deposit,2/4/21,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,1795,20653.35
,Deposit,2/4/21,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,35,20688.35
,Check,2/4/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,20543.35
,Check,2/5/21,,Number One Plumbing Heating & Air,85+35 Fort Pike,X,Repairs and Maintenance,-120,20423.35
,Check,3/1/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,20308.35
,Check,3/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,20163.35
,Deposit,3/1/21,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1220,21383.35
,Deposit,3/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,23178.35
,Deposit,3/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,23213.35
,Check,3/1/21,,PRIORTY APPLIANCES,Fort Pike new DISHWASHER $528.20+35=563.20,X,Repairs and Maintenance,-563.2,22650.15
,Check,3/1/21,,Nature by Design LLC,Fort Pike TREE TRIMMING $230+35,X,Repairs and Maintenance,-265,22385.15
,Check,3/9/21,,Number One Plumbing Heating & Air,Fort Pike $167.39+35,X,Repairs and Maintenance,-202.39,22182.76
,Check,3/9/21,,Gutierrez Handyman Services,Fort Pike,X,Repairs and Maintenance,-25,22157.76
,Check,3/15/21,,"GoldenWest Management, Inc",HOA COORDINATION Fort Pike,X,Management Fees,-5,22152.76
,Check,3/23/21,,ELDORADO THIRD CA,check #549 3/2021 Bright Leaf,X,Community Association Fee,-69,22083.76
,Check,3/23/21,,MOUNTAINS EDGE MASTER ASSOCIATION,check #548 3/2021 Fort Pike,X,Community Association Fee,-192,21891.76
,Check,4/1/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,21776.76
,Check,4/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,21631.76
,Deposit,4/1/21,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1220,22851.76
,Deposit,4/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,24646.76
,Deposit,4/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,24681.76
,Check,4/1/21,,PRIORTY APPLIANCES,"Fort Pike new GE 30"" GAS RANGE $773.34+35",X,Repairs and Maintenance,-808.34,23873.42
,Check,4/9/21,,FRANCHISE TAX BOARD,2021,X,LLC Tax,-800,23073.42
,Check,4/12/21,,REPUBLIC SERVICE,pay gift card Fort Pike,X,Utilities,-46.65,23026.77
,Check,5/3/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,22881.77
,Check,5/3/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,22766.77
,Deposit,5/3/21,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1220,23986.77
,Check,5/3/21,,AMERICAN HOME MECHANICAL LLC.,Bright Leaf,X,Repairs and Maintenance,-85,23901.77
,Deposit,5/3/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,25696.77
,Deposit,5/3/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,25731.77
,Check,5/4/21,,Fortitude Professional Services,2020 tax,X,Professional Fees,-210,25521.77
,Check,5/20/21,,ADAMIK ELECTRIC,Fort Pike 150+35,X,Repairs and Maintenance,-185,25336.77
,Deposit,6/3/21,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1220,26556.77
,Deposit,6/3/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,28351.77
,Deposit,6/3/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,28386.77
,Check,6/3/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,28271.77
,Check,6/3/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,28126.77
,Check,6/3/21,,AMERICAN HOME MECHANICAL LLC.,Fort Pike Turn Up AC,X,Repairs and Maintenance,-140,27986.77
,Check,6/22/21,,MOUNTAINS EDGE MASTER ASSOCIATION,Check # 583 6/2021 Fort Pike,X,Community Association Fee,-192,27794.77
,Check,6/22/21,,"GoldenWest Management, Inc",Bright Leaf Semi annual record fee,X,Management Fees,-49,27745.77
,Check,6/22/21,,"GoldenWest Management, Inc",Fort Pike Semi Annual record fee,X,Management Fees,-49,27696.77
,Check,6/22/21,,ELDORADO THIRD CA,chase chk #584 Bright Leaf,X,Community Association Fee,-69,27627.77
,Check,6/25/21,,AMERICAN HOME MECHANICAL LLC.,Fort Pike Service call,X,Repairs and Maintenance,-110,27517.77
,Deposit,7/1/21,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1220,28737.77
,Check,7/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-115,28622.77
,Check,7/1/21,,"GoldenWest Management, Inc",Renewal Fee Bright Leaf,X,Management Fees,-150,28472.77
,Deposit,7/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,30267.77
,Deposit,7/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,30302.77
,Check,7/1/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,30157.77
,Check,7/7/21,,Clark County Water Reclamation,yen sapphire 7946 Fort Pike,X,Utilities,-243.84,29913.93
,Check,7/10/21,,REPUBLIC SERVICE,gift card #9608 Fort Pike,X,Utilities,-47.25,29866.68
,Check,7/15/21,,AMERICAN HOME MECHANICAL LLC.,75+35 Fort Pike,X,Repairs and Maintenance,-105,29761.68
,Check,7/25/21,,Clark County Treasures,2021,X,Property Tax,-1388.96,28372.72
,Check,7/25/21,,Clark County Treasures,2021,X,Property Tax,-2530.7,25842.02
,Deposit,8/4/21,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,1795,27637.02
,Deposit,8/4/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,27672.02
,Check,8/4/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,27527.02
,Deposit,8/5/21,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1280,28807.02
,Check,8/5/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,28692.02
,Check,8/14/21,,Simply Air Conditioning & Heating,Dual Run Capacitator for Fort Pike,X,Repairs and Maintenance,-230,28462.02
,Deposit,9/2/21,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1280,29742.02
,Check,9/2/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,29627.02
,Check,9/2/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,29482.02
,Deposit,9/2/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,1795,31277.02
,Deposit,9/2/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,31312.02
,Check,9/2/21,,PRIORTY APPLIANCES,348.77+35 Fort Pike,X,Repairs and Maintenance,-383.77,30928.25
,Check,10/1/21,,MOUNTAINS EDGE MASTER ASSOCIATION,chk #590 Fort Pike,X,Community Association Fee,-192,30736.25
,Check,10/1/21,,ELDORADO THIRD CA,chk #589 Bright Leaf,X,Community Association Fee,-69,30667.25
,Check,10/1/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,30552.25
,Deposit,10/1/21,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1280,31832.25
,Check,10/1/21,,SANITYZ-IT,250+35 Fort Pike,X,Repairs and Maintenance,-285,31547.25
,Check,10/5/21,,AMERICAN HOME MECHANICAL LLC.,75+35 Fort Pike,X,Repairs and Maintenance,-110,31437.25
,Check,10/5/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-145,31292.25
,Check,10/10/21,,REPUBLIC SERVICE,4 qtr paid visa Fort Pike,X,Utilities,-47.25,31235.5
,Check,10/17/21,,NV ENERGY,Fort Pike,X,Utilities,-12.07,31223.43
,Check,10/21/21,,Number One Plumbing Heating & Air,85+35 Fort Pike,X,Repairs and Maintenance,-120,31103.43
,Check,10/23/21,,Las Vegas Valley Water District,visa Fort Pike,X,Utilities,-14.9,31088.53
,Deposit,11/2/21,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,2077.37,33165.9
,Deposit,11/2/21,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,33.83,33199.73
,Deposit,11/5/21,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1280,9479.73
,Check,11/5/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,9364.73
,Deposit,11/5/21,,SANITYZ-IT,tenant reimbursement Fort Pike,X,Repairs and Maintenance,250,9614.73
,Check,11/5/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-1074.5,8540.23
,Check,11/5/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-175,8365.23
,Deposit,11/8/21,,"GoldenWest Management, Inc",Fort Pike,X,Repairs and Maintenance,35,8400.23
,Check,11/10/21,,"GoldenWest Management, Inc",Zillow Ad Fort Pike,X,Management Fees,-78,8322.23
,Check,11/13/21,,NV ENERGY,Fort Pike,X,Utilities,-31.46,8290.77
,Check,11/15/21,,Las Vegas Valley Water District,credit card Fort Pike,X,Utilities,-19.6,8271.17
,Check,11/23/21,,Simply Air Conditioning & Heating,79+35 Fort Pike,X,Repairs and Maintenance,-114,8157.17
,Deposit,11/24/21,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Management Fees,574.5,8731.67
,Deposit,12/3/21,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1280,10011.67
,Check,12/3/21,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,9896.67
,Deposit,12/3/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,2045.96,11942.63
,Deposit,12/3/21,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,11977.63
,Check,12/3/21,,Anytime Garage Door,45+35 Fort Pike,X,Repairs and Maintenance,-80,11897.63
,Check,12/3/21,,SANITYZ-IT,340+35 Fort Pike,X,Repairs and Maintenance,-375,11522.63
,Check,12/3/21,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-175,11347.63
,Check,12/3/21,,Wiley Service,300+35 Fort Pike,X,Repairs and Maintenance,-335,11012.63
,Check,12/3/21,,"GoldenWest Management, Inc",Zillow Group Ad Fee Fort Pike,X,Management Fees,-12,11000.63
,Check,12/12/21,,ELDORADO THIRD CA,chase chk #593 Bright Leaf,X,Community Association Fee,-69,10931.63
,Check,12/14/21,,State Farm Fire and Casualty Company,1828 bright leaf,X,Insurance Expense,-613,10318.63
,Check,12/27/21,,State Farm Fire and Casualty Company,10001 fort pike,X,Insurance Expense,-783,9535.63
,Check,12/31/21,,MOUNTAINS EDGE MASTER ASSOCIATION,chase chk #594 Fort Pike,X,Community Association Fee,-192,9343.63
,Deposit,1/3/22,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1280,12894.82
,Deposit,1/3/22,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,2149,15043.82
,Deposit,1/3/22,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,35,15078.82
,Check,1/5/22,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,14963.82
,Check,1/5/22,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-175,14788.82
,Check,1/5/22,,"GoldenWest Management, Inc",Bright Leaf Semi-Annual Records and Retention,X,Management Fees,-49,14739.82
,Check,1/5/22,,"GoldenWest Management, Inc",Fort Pike Semi-Annual Records and Retention,X,Management Fees,-49,14690.82
,Check,1/5/22,,Number One Plumbing Heating & Air,Fort Pike plumbing 127.50+35,X,Repairs and Maintenance,-162.5,14528.32
,Check,1/11/22,,REPUBLIC SERVICE,1st paid gift card Fort Pike,X,Utilities,-47.25,14481.07
,Check,2/1/22,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,14366.07
,Deposit,2/1/22,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1280,15646.07
,Check,2/1/22,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-175,15471.07
,Deposit,2/1/22,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,2149,17620.07
,Check,2/1/22,,Number One Plumbing Heating & Air,135+35 Fort Pike,X,Repairs and Maintenance,-170,17450.07
,Check,2/1/22,,Number One Plumbing Heating & Air,458.79+35 Fort Pike,X,Repairs and Maintenance,-493.79,16956.28
,Deposit,2/1/22,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,35,16991.28
,Check,2/25/22,,Number One Plumbing Heating & Air,Fort Pike,X,Repairs and Maintenance,-35,6941.28
,Check,3/1/22,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-175,6766.28
,Check,3/1/22,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,6651.28
,Deposit,3/1/22,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,2149,8800.28
,Deposit,3/1/22,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,8835.28
,Deposit,3/1/22,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1280,10115.28
,Check,3/1/22,,Number One Plumbing Heating & Air,379.3 Fort Pike,X,Repairs and Maintenance,-379.3,9785.98
,Check,3/20/22,,FRANCHISE TAX BOARD,2022 LLC Tax,X,LLC Tax,-800,8985.98
,Check,4/4/22,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,8450.98
,Check,4/4/22,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-175,8275.98
,Deposit,4/4/22,,"GoldenWest Management, Inc",Nright Leaf,X,Rental Income,1280,9555.98
,Deposit,4/4/22,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,2149,11704.98
,Deposit,4/4/22,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,11739.98
,Check,4/8/22,,REPUBLIC SERVICE,2nd paid gift card Fort Pike,,Utilities,-47.25,11692.73
,Check,4/23/22,,Simply Air Conditioning & Heating,565 Fort Pike,X,Repairs and Maintenance,-565,11127.73
,Check,4/29/22,,,new refrigerator from costco Fort Pike,,Repairs and Maintenance,-1408.87,9718.86
,Check,5/4/22,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,10023.86
,Deposit,5/4/22,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1280,11303.86
,Check,5/4/22,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-175,10673.86
,Deposit,5/4/22,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,2149,12822.86
,Deposit,5/4/22,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,12857.86
,Check,5/5/22,,Simply Air Conditioning & Heating,565+35 Fort Pike,X,Repairs and Maintenance,-35,12822.86
,Check,5/24/22,,Controlled Comfort,85+35 HVAC Fort Pike,X,Repairs and Maintenance,-120,12682.86
,Check,6/1/22,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,12567.86
,Deposit,6/1/22,,"GoldenWest Management, Inc",Deposit Bright Leaf,X,Rental Income,1280,13847.86
,Check,6/1/22,,Ruiz LV Home repairs,200+35 Fort Pike,X,Repairs and Maintenance,-235,14187.86
,Deposit,6/1/22,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,2149,16336.86
,Deposit,6/1/22,,"GoldenWest Management, Inc",Deposit Fort Pike,X,Rental Income,35,16371.86
,Check,6/1/22,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-175,16196.86
,Check,6/9/22,,Controlled Comfort,85+35 HVAC Bright Leaf,X,Repairs and Maintenance,-120,16076.86
,Check,6/9/22,,PRIORTY APPLIANCES,158+35 Fort Pike,X,Repairs and Maintenance,-193.76,15883.1
,Check,6/9/22,,Simply Air Conditioning & Heating,4595-565=4030+10%+35 Fort Pike,X,Repairs and Maintenance,-4468,11415.1
,Check,6/9/22,,"GoldenWest Management, Inc",RECORDS Fort Pike,X,Management Fees,-49,11366.1
,Check,6/21/22,,"GoldenWest Management, Inc",semi annual record Bright Leaf,X,Management Fees,-49,11257.1
,Check,6/26/22,,ELDORADO THIRD CA,chase #640 Bright Leaf,,Community Association Fee,-69,11188.1
,Check,6/26/22,,MOUNTAINS EDGE MASTER ASSOCIATION,chase #603 Fort Pike,,Community Association Fee,-192,10996.1
,Check,7/4/22,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,10881.1
,Deposit,7/4/22,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1280,12161.1
,Check,7/4/22,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-175,11986.1
,Deposit,7/4/22,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,2149,14135.1
,Deposit,7/4/22,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,14170.1
,Check,7/9/22,,Clark County Water Reclamation,paid gift card 100+162.44 Fort Pike,,Utilities,-262.44,13967.66
,Check,7/13/22,,REPUBLIC SERVICE,Fort Pike,,Utilities,-48.87,13918.79
,Check,7/25/22,,Clark County Treasures,Fort Pike,X,Property Tax,-2792.78,11126.01
,Check,7/25/22,,Clark County Treasures,Bright Leaf,X,Property Tax,-1532.7,9593.31
,Deposit,8/2/22,,"GoldenWest Management, Inc",Bright Leaf,X,Rental Income,1400,10993.31
,Check,8/2/22,,"GoldenWest Management, Inc",Bright Leaf,X,Management Fees,-115,10878.31
,Deposit,8/2/22,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,2149,13027.31
,Deposit,8/2/22,,"GoldenWest Management, Inc",Fort Pike,X,Rental Income,35,13062.31
,Check,8/2/22,,"GoldenWest Management, Inc",Fort Pike,X,Management Fees,-175,12887.31
,Check,8/15/22,,"GoldenWest Management, Inc",renew bright leaf,,Management Fees,-150,12737.31
,Check,9/11/22,,ELDORADO THIRD CA,chk #610 Bright Leaf,,Community Association Fee,-69,2843.31
,Check,9/11/22,,MOUNTAINS EDGE MASTER ASSOCIATION,chk #551 Fort Pike,,Community Association Fee,-192,2651.31